"Zeitstempel","The game controls seemed natural","The actions used to interact with the game environment were similar to the actions that would be used to do the same things in the real world","The game interface was not realistic ","The game environment was manipulated in a lifelike manner","The actions I performed with the controller were closely connected to the actions happening in the game environment","The actions used to control the game seemed natural","The way in which I controlled my character felt realistic","The controller itself made the game seem more realistic","It was much more difficult to control my character than I expected it to be","I felt like the controller was an extension of my body","When I tried to hit the puck, the controls made it seem realistic","The controller allowed me to do everything I needed to, to be successful in the game"
"2017/11/15 2:33:10 nachm. MEZ","6","6","4","7","6","4","4","6","4","7","2","2"
"2017/11/15 3:06:59 nachm. MEZ","1","1","1","2","2","2","2","3","6","3","2","2"
"2017/11/15 3:40:14 nachm. MEZ","2","3","4","5","3","2","3","5","5","3","2","2"
"2017/11/15 5:05:45 nachm. MEZ","1","2","4","5","1","3","2","6","3","7","7","7"
"2017/11/15 5:56:41 nachm. MEZ","2","2","3","4","2","3","4","6","6","5","4","2"
"2017/11/17 11:47:32 vorm. MEZ","5","5","5","5","5","5","4","5","4","5","4","5"
"2017/11/17 1:33:37 nachm. MEZ","4","3","3","7","2","3","4","4","2","5","2","1"
"2017/11/21 10:16:35 vorm. MEZ","5","5","2","4","5","6","5","6","4","5","5","6"
"2017/11/21 12:53:43 nachm. MEZ","6","5","3","5","6","5","4","7","3","7","6","5"
"2017/11/21 1:58:06 nachm. MEZ","5","6","4","3","6","6","6","6","3","5","3","7"
"2017/11/21 3:07:04 nachm. MEZ","6","6","2","5","5","6","4","6","3","6","5","4"
"2017/11/23 10:43:23 vorm. MEZ","6","5","4","5","5","5","5","5","2","4","5","7"
"2017/11/23 2:01:28 nachm. MEZ","3","5","3","3","4","4","2","4","7","2","2","1"
"2017/11/23 4:01:14 nachm. MEZ","6","6","2","6","6","6","6","7","2","3","5","6"
"2017/11/24 11:06:08 vorm. MEZ","6","6","4","6","6","6","6","6","2","6","6","6"
"2017/11/24 12:49:36 nachm. MEZ","4","3","6","6","4","6","2","6","5","4","3","4"
"2017/11/24 2:17:50 nachm. MEZ","5","6","4","6","5","7","6","5","2","6","5","7"
